Date,HomeTeam,AwayTeam,FTHG,FTAG
10-Oct-14,Melbourne Victory,Western Sydney,4,1
11-Oct-14,Sydney FC,Melbourne City,1,1
11-Oct-14,Central Coast Mariners,Newcastle Jets,1,0
12-Oct-14,Brisbane Roar,Adelaide Utd,1,2
12-Oct-14,Wellington Phoenix,Perth Glory,1,2
17-Oct-14,Adelaide Utd,Melbourne Victory,1,1
18-Oct-14,Sydney FC,Western Sydney,3,2
18-Oct-14,Central Coast Mariners,Wellington Phoenix,1,2
19-Oct-14,Perth Glory,Brisbane Roar,3,2
19-Oct-14,Melbourne City,Newcastle Jets,1,1
24-Oct-14,Brisbane Roar,Sydney FC,0,2
25-Oct-14,Melbourne Victory,Melbourne City,5,2
26-Oct-14,Adelaide Utd,Perth Glory,2,0
26-Oct-14,Wellington Phoenix,Newcastle Jets,4,1
31-Oct-14,Melbourne City,Adelaide Utd,1,2
1-Nov-14,Perth Glory,Newcastle Jets,2,1
2-Nov-14,Sydney FC,Central Coast Mariners,2,0
3-Nov-14,Melbourne Victory,Wellington Phoenix,2,0
7-Nov-14,Adelaide Utd,Sydney FC,0,0
7-Nov-14,Wellington Phoenix,Western Sydney,1,0
8-Nov-14,Brisbane Roar,Melbourne City,1,3
8-Nov-14,Newcastle Jets,Melbourne Victory,2,2
9-Nov-14,Central Coast Mariners,Perth Glory,0,1
14-Nov-14,Newcastle Jets,Brisbane Roar,0,4
15-Nov-14,Perth Glory,Western Sydney,2,1
15-Nov-14,Sydney FC,Melbourne Victory,0,0
15-Nov-14,Adelaide Utd,Wellington Phoenix,2,1
16-Nov-14,Melbourne City,Central Coast Mariners,2,2
19-Nov-14,Western Sydney,Central Coast Mariners,0,0
21-Nov-14,Perth Glory,Wellington Phoenix,2,1
21-Nov-14,Melbourne Victory,Brisbane Roar,1,0
22-Nov-14,Melbourne City,Sydney FC,1,2
22-Nov-14,Western Sydney,Newcastle Jets,1,1
23-Nov-14,Central Coast Mariners,Adelaide Utd,0,2
28-Nov-14,Melbourne Victory,Adelaide Utd,3,2
29-Nov-14,Western Sydney,Sydney FC,1,1
29-Nov-14,Brisbane Roar,Perth Glory,1,1
30-Nov-14,Newcastle Jets,Central Coast Mariners,1,1
30-Nov-14,Wellington Phoenix,Melbourne City,5,1
3-Dec-14,Western Sydney,Brisbane Roar,0,1
4-Dec-14,Sydney FC,Perth Glory,1,2
5-Dec-14,Central Coast Mariners,Melbourne Victory,0,3
6-Dec-14,Adelaide Utd,Western Sydney,2,0
6-Dec-14,Newcastle Jets,Wellington Phoenix,1,3
7-Dec-14,Melbourne City,Brisbane Roar,1,0
12-Dec-14,Perth Glory,Newcastle Jets,2,0
12-Dec-14,Adelaide Utd,Brisbane Roar,0,1
13-Dec-14,Melbourne Victory,Sydney FC,3,3
13-Dec-14,Wellington Phoenix,Central Coast Mariners,1,1
19-Dec-14,Newcastle Jets,Adelaide Utd,2,1
20-Dec-14,Perth Glory,Central Coast Mariners,4,1
20-Dec-14,Melbourne City,Melbourne Victory,1,0
21-Dec-14,Sydney FC,Wellington Phoenix,0,2
26-Dec-14,Sydney FC,Adelaide Utd,0,3
26-Dec-14,Melbourne City,Perth Glory,1,1
27-Dec-14,Melbourne Victory,Newcastle Jets,1,0
27-Dec-14,Central Coast Mariners,Brisbane Roar,3,3
28-Dec-14,Wellington Phoenix,Western Sydney,1,0
30-Dec-14,Brisbane Roar,Sydney FC,0,0
30-Dec-14,Newcastle Jets,Melbourne City,2,5
31-Dec-14,Adelaide Utd,Wellington Phoenix,1,3
1-Jan-15,Western Sydney,Central Coast Mariners,0,0
2-Jan-15,Melbourne Victory,Perth Glory,1,2
3-Jan-15,Sydney FC,Newcastle Jets,0,0
4-Jan-15,Central Coast Mariners,Melbourne City,2,0
4-Jan-15,Wellington Phoenix,Brisbane Roar,3,0
5-Jan-15,Perth Glory,Adelaide Utd,1,2
6-Jan-15,Western Sydney,Melbourne Victory,1,2
24-Jan-15,Central Coast Mariners,Sydney FC,1,5
24-Jan-15,Adelaide Utd,Newcastle Jets,7,0
25-Jan-15,Perth Glory,Melbourne Victory,3,3
1-Feb-15,Melbourne City,Western Sydney,2,1
2-Feb-15,Brisbane Roar,Wellington Phoenix,3,2
6-Feb-15,Newcastle Jets,Brisbane Roar,1,2
7-Feb-15,Perth Glory,Sydney FC,1,3
7-Feb-15,Melbourne Victory,Melbourne City,3,0
7-Feb-15,Central Coast Mariners,Adelaide Utd,2,1
8-Feb-15,Western Sydney,Wellington Phoenix,2,0
13-Feb-15,Central Coast Mariners,Brisbane Roar,0,2
14-Feb-15,Sydney FC,Melbourne Victory,3,3
14-Feb-15,Newcastle Jets,Western Sydney,1,1
14-Feb-15,Wellington Phoenix,Melbourne City,0,0
15-Feb-15,Adelaide Utd,Perth Glory,1,1
21-Feb-15,Adelaide Utd,Western Sydney,2,1
21-Feb-15,Sydney FC,Central Coast Mariners,4,2
22-Feb-15,Melbourne City,Perth Glory,0,0
22-Feb-15,Wellington Phoenix,Newcastle Jets,2,2
27-Feb-15,Melbourne City,Adelaide Utd,3,1
28-Feb-15,Perth Glory,Brisbane Roar,2,2
28-Feb-15,Western Sydney,Sydney FC,3,4
28-Feb-15,Newcastle Jets,Central Coast Mariners,0,0
1-Mar-15,Melbourne Victory,Wellington Phoenix,2,3
6-Mar-15,Newcastle Jets,Sydney FC,0,1
7-Mar-15,Melbourne Victory,Perth Glory,1,1
7-Mar-15,Wellington Phoenix,Adelaide Utd,2,0
8-Mar-15,Brisbane Roar,Western Sydney,1,0
8-Mar-15,Central Coast Mariners,Melbourne City,1,0
11-Mar-15,Western Sydney,Melbourne City,3,2
12-Mar-15,Adelaide Utd,Central Coast Mariners,2,1
13-Mar-15,Western Sydney,Melbourne Victory,0,3
14-Mar-15,Perth Glory,Wellington Phoenix,1,2
14-Mar-15,Melbourne City,Newcastle Jets,4,0
15-Mar-15,Sydney FC,Brisbane Roar,5,4
20-Mar-15,Sydney FC,Melbourne City,0,1
21-Mar-15,Adelaide Utd,Melbourne Victory,2,2
21-Mar-15,Western Sydney,Newcastle Jets,1,2
22-Mar-15,Brisbane Roar,Wellington Phoenix,1,2
22-Mar-15,Central Coast Mariners,Perth Glory,1,1
