Date,Season,HomeTeam,AwayTeam,FTHG,FTAG
30/08/2014,2014,Chievo Verona,Juventus,0,1
30/08/2014,2014,AS Roma,ACF Fiorentina,2,0
31/08/2014,2014,Atalanta,Hellas Verona,0,0
31/08/2014,2014,AC Milan,Lazio Roma,3,1
31/08/2014,2014,AC Cesena,Parma FC,1,0
31/08/2014,2014,Genoa CFC,SSC Napoli,1,2
31/08/2014,2014,US Palermo,Sampdoria,1,1
31/08/2014,2014,Sassuolo Calcio,Cagliari Calcio,1,1
31/08/2014,2014,Torino FC,Inter,0,0
31/08/2014,2014,Udinese Calcio,Empoli FC,2,0
13/09/2014,2014,Empoli FC,AS Roma,0,1
13/09/2014,2014,Juventus,Udinese Calcio,2,0
14/09/2014,2014,Sampdoria,Torino FC,2,0
14/09/2014,2014,Cagliari Calcio,Atalanta,1,2
14/09/2014,2014,ACF Fiorentina,Genoa CFC,0,0
14/09/2014,2014,Inter,Sassuolo Calcio,7,0
14/09/2014,2014,Lazio Roma,AC Cesena,3,0
14/09/2014,2014,SSC Napoli,Chievo Verona,0,1
14/09/2014,2014,Parma FC,AC Milan,4,5
15/09/2014,2014,Hellas Verona,US Palermo,2,1
20/09/2014,2014,AC Cesena,Empoli FC,2,2
20/09/2014,2014,AC Milan,Juventus,0,1
21/09/2014,2014,Chievo Verona,Parma FC,2,3
21/09/2014,2014,Genoa CFC,Lazio Roma,1,0
21/09/2014,2014,AS Roma,Cagliari Calcio,2,0
21/09/2014,2014,Sassuolo Calcio,Sampdoria,0,0
21/09/2014,2014,Atalanta,ACF Fiorentina,0,1
21/09/2014,2014,Udinese Calcio,SSC Napoli,1,0
21/09/2014,2014,US Palermo,Inter,1,1
21/09/2014,2014,Torino FC,Hellas Verona,0,1
23/09/2014,2014,Empoli FC,AC Milan,2,2
24/09/2014,2014,Cagliari Calcio,Torino FC,1,2
24/09/2014,2014,ACF Fiorentina,Sassuolo Calcio,0,0
24/09/2014,2014,Hellas Verona,Genoa CFC,2,2
24/09/2014,2014,Inter,Atalanta,2,0
24/09/2014,2014,Juventus,AC Cesena,3,0
24/09/2014,2014,SSC Napoli,US Palermo,3,3
24/09/2014,2014,Parma FC,AS Roma,1,2
24/09/2014,2014,Sampdoria,Chievo Verona,2,1
25/09/2014,2014,Lazio Roma,Udinese Calcio,0,1
27/09/2014,2014,AS Roma,Hellas Verona,2,0
27/09/2014,2014,Atalanta,Juventus,0,3
28/09/2014,2014,Sassuolo Calcio,SSC Napoli,0,1
28/09/2014,2014,AC Cesena,AC Milan,1,1
28/09/2014,2014,Chievo Verona,Empoli FC,1,1
28/09/2014,2014,Inter,Cagliari Calcio,1,4
28/09/2014,2014,Torino FC,ACF Fiorentina,1,1
28/09/2014,2014,Genoa CFC,Sampdoria,0,1
29/09/2014,2014,Udinese Calcio,Parma FC,4,2
29/09/2014,2014,US Palermo,Lazio Roma,0,4
4/10/2014,2014,Hellas Verona,Cagliari Calcio,1,0
4/10/2014,2014,AC Milan,Chievo Verona,2,0
5/10/2014,2014,Empoli FC,US Palermo,3,0
5/10/2014,2014,Lazio Roma,Sassuolo Calcio,3,2
5/10/2014,2014,Parma FC,Genoa CFC,1,2
5/10/2014,2014,Sampdoria,Atalanta,1,0
5/10/2014,2014,Udinese Calcio,AC Cesena,1,1
5/10/2014,2014,Juventus,AS Roma,3,2
5/10/2014,2014,ACF Fiorentina,Inter,3,0
5/10/2014,2014,SSC Napoli,Torino FC,2,1
18/10/2014,2014,AS Roma,Chievo Verona,3,0
18/10/2014,2014,Sassuolo Calcio,Juventus,1,1
19/10/2014,2014,ACF Fiorentina,Lazio Roma,0,2
19/10/2014,2014,Atalanta,Parma FC,1,0
19/10/2014,2014,Cagliari Calcio,Sampdoria,2,2
19/10/2014,2014,Hellas Verona,AC Milan,1,3
19/10/2014,2014,US Palermo,AC Cesena,2,1
19/10/2014,2014,Torino FC,Udinese Calcio,1,0
19/10/2014,2014,Inter,SSC Napoli,2,2
20/10/2014,2014,Genoa CFC,Empoli FC,1,1
25/10/2014,2014,Empoli FC,Cagliari Calcio,0,4
25/10/2014,2014,Parma FC,Sassuolo Calcio,1,3
25/10/2014,2014,Sampdoria,AS Roma,0,0
26/10/2014,2014,Chievo Verona,Genoa CFC,1,2
26/10/2014,2014,Juventus,US Palermo,2,0
26/10/2014,2014,Udinese Calcio,Atalanta,2,0
26/10/2014,2014,AC Cesena,Inter,0,1
26/10/2014,2014,Lazio Roma,Torino FC,2,1
26/10/2014,2014,SSC Napoli,Hellas Verona,6,2
26/10/2014,2014,AC Milan,ACF Fiorentina,1,1
28/10/2014,2014,Sassuolo Calcio,Empoli FC,3,1
29/10/2014,2014,Atalanta,SSC Napoli,1,1
29/10/2014,2014,Cagliari Calcio,AC Milan,1,1
29/10/2014,2014,ACF Fiorentina,Udinese Calcio,3,0
29/10/2014,2014,Genoa CFC,Juventus,1,0
29/10/2014,2014,Inter,Sampdoria,1,0
29/10/2014,2014,US Palermo,Chievo Verona,1,0
29/10/2014,2014,AS Roma,AC Cesena,2,0
29/10/2014,2014,Torino FC,Parma FC,1,0
30/10/2014,2014,Hellas Verona,Lazio Roma,1,1
1/11/2014,2014,SSC Napoli,AS Roma,2,0
1/11/2014,2014,Empoli FC,Juventus,0,2
1/11/2014,2014,Parma FC,Inter,2,0
2/11/2014,2014,Chievo Verona,Sassuolo Calcio,0,0
2/11/2014,2014,Sampdoria,ACF Fiorentina,3,1
2/11/2014,2014,Torino FC,Atalanta,0,0
2/11/2014,2014,Udinese Calcio,Genoa CFC,2,4
2/11/2014,2014,AC Milan,US Palermo,0,2
3/11/2014,2014,AC Cesena,Hellas Verona,1,1
3/11/2014,2014,Lazio Roma,Cagliari Calcio,4,2
8/11/2014,2014,Sassuolo Calcio,Atalanta,0,0
8/11/2014,2014,Sampdoria,AC Milan,2,2
9/11/2014,2014,Cagliari Calcio,Genoa CFC,1,1
9/11/2014,2014,Chievo Verona,AC Cesena,2,1
9/11/2014,2014,Empoli FC,Lazio Roma,2,1
9/11/2014,2014,Juventus,Parma FC,7,0
9/11/2014,2014,US Palermo,Udinese Calcio,1,1
9/11/2014,2014,ACF Fiorentina,SSC Napoli,0,1
9/11/2014,2014,Inter,Hellas Verona,2,2
9/11/2014,2014,AS Roma,Torino FC,3,0
22/11/2014,2014,Atalanta,AS Roma,1,2
22/11/2014,2014,Lazio Roma,Juventus,0,3
23/11/2014,2014,Torino FC,Sassuolo Calcio,0,1
