Date,HomeTeam,AwayTeam,FTHG,FTAG
2014/8/23,Malaga CF,Athletic Bilbao,1,0
2014/8/23,Sevilla FC,Valencia CF,1,1
2014/8/23,Granada CF,Deportivo La Coruna,2,1
2014/8/23,UD Almeria,Espanyol Barcelona,1,1
2014/8/24,SD Eibar,Real Sociedad,1,0
2014/8/24,Celta Vigo,Getafe CF,3,1
2014/8/24,FC Barcelona,Elche CF,3,0
2014/8/24,Levante UD,Villarreal CF,0,2
2014/8/25,Real Madrid,Cordoba CF,2,0
2014/8/25,Rayo Vallecano,Atletico Madrid,0,0
2014/8/29,Getafe CF,UD Almeria,1,0
2014/8/29,Valencia CF,Malaga CF,3,0
2014/8/30,Cordoba CF,Celta Vigo,1,1
2014/8/30,Athletic Bilbao,Levante UD,3,0
2014/8/30,Atletico Madrid,SD Eibar,2,1
2014/8/30,Espanyol Barcelona,Sevilla FC,1,2
2014/8/31,Villarreal CF,FC Barcelona,0,1
2014/8/31,Real Sociedad,Real Madrid,4,2
2014/8/31,Deportivo La Coruna,Rayo Vallecano,2,2
2014/8/31,Elche CF,Granada CF,1,1
2014/9/12,UD Almeria,Cordoba CF,1,1
2014/9/13,FC Barcelona,Athletic Bilbao,2,0
2014/9/13,Malaga CF,Levante UD,0,0
2014/9/13,Real Madrid,Atletico Madrid,1,2
2014/9/13,Celta Vigo,Real Sociedad,2,2
2014/9/14,Rayo Vallecano,Elche CF,2,3
2014/9/14,Valencia CF,Espanyol Barcelona,3,1
2014/9/14,Sevilla FC,Getafe CF,2,0
2014/9/14,Granada CF,Villarreal CF,0,0
2014/9/15,SD Eibar,Deportivo La Coruna,0,1
2014/9/19,Elche CF,SD Eibar,0,2
2014/9/20,Deportivo La Coruna,Real Madrid,2,8
2014/9/20,Athletic Bilbao,Granada CF,0,1
2014/9/20,Atletico Madrid,Celta Vigo,2,2
2014/9/20,Espanyol Barcelona,Malaga CF,2,2
2014/9/21,Real Sociedad,UD Almeria,1,2
2014/9/21,Villarreal CF,Rayo Vallecano,4,2
2014/9/21,Cordoba CF,Sevilla FC,1,3
2014/9/21,Levante UD,FC Barcelona,0,5
2014/9/22,Getafe CF,Valencia CF,0,3
2014/9/23,Real Madrid,Elche CF,5,1
2014/9/23,Celta Vigo,Deportivo La Coruna,2,1
2014/9/24,UD Almeria,Atletico Madrid,0,1
2014/9/24,SD Eibar,Villarreal CF,1,1
